Id_hp,Nama_hp,Brand,Harga,Ram,Memori_internal,Ukuran_layar,Resolusi_kamera,Kapasitas_baterai,Os,Rating_pengguna,Tahun_rilis,Stok_tersedia
145,Asus Note 25,Asus,12357707,8,256,6.7,48,4000,Android,1.2,2020,True
146,Asus Note 27,Asus,7344103,8,256,6.1,50,5000,Android,1.9,2019,False
147,Asus Note 28,Asus,11213849,16,512,5.5,64,4500,Android,2.4,2020,False
148,Asus Note 30,Asus,18481957,12,512,6.5,108,5000,Android,4.1,2021,True
149,Asus Note 6,Asus,15160268,8,64,6.7,12,5000,Android,4.6,2019,True
150,Asus Note 6,Asus,15515142,8,512,6.8,50,4500,Android,3.2,2021,True
151,Asus Note 7,Asus,17642366,6,512,6.8,108,5000,Android,4.3,2022,True
152,Asus Note 9,Asus,10226485,8,256,5.5,108,5000,Android,4.5,2019,True
153,Asus Pro 10,Asus,8909174,12,64,6.5,48,5000,Android,3.9,2021,True
154,Asus Pro 10,Asus,11180445,6,128,5.5,48,4000,Android,1.6,2020,True
155,Asus Pro 11,Asus,17343299,4,128,6.7,64,4000,Android,1.1,2019,False
156,Asus Pro 12,Asus,2191706,6,64,6.1,64,4500,Android,4.3,2020,True
157,Asus Pro 13,Asus,15527658,4,64,6.1,48,4500,Android,1.6,2021,False
158,Asus Pro 16,Asus,14809339,12,256,6.4,12,6000,Android,4.9,2023,True
159,Asus Pro 17,Asus,2655950,12,256,6.7,12,6000,Android,4.4,2023,True
160,Asus Pro 18,Asus,21469645,4,512,6.5,108,6000,Android,3.2,2023,False
161,Asus Pro 18,Asus,14964658,12,512,6.1,48,5000,Android,1.5,2021,True
162,Asus Pro 18,Asus,6413894,8,512,6.4,108,5000,Android,3.1,2023,False
163,Asus Pro 19,Asus,9894258,16,64,5.5,64,6000,Android,4.8,2022,False
164,Asus Pro 19,Asus,19300084,16,64,6.1,12,6000,Android,1.6,2020,False
165,Asus Pro 19,Asus,10332412,12,256,6.1,50,4500,Android,1.1,2020,True
166,Asus Pro 19,Asus,24424506,6,256,6.8,50,6000,Android,1.6,2019,False
167,Asus Pro 19,Asus,6296609,4,64,6.1,108,4000,Android,1.8,2024,False
168,Asus Pro 21,Asus,12660513,6,64,5.5,64,4500,Android,1.3,2021,True
169,Asus Pro 22,Asus,20573424,8,128,6.1,50,4500,Android,3.9,2019,False
170,Asus Pro 22,Asus,16569886,6,512,6.1,64,5000,Android,5.0,2023,True
171,Asus Pro 23,Asus,11669763,12,64,6.7,48,6000,Android,3.6,2023,True
172,Asus Pro 24,Asus,14716471,16,128,6.8,12,4000,Android,1.0,2023,False
173,Asus Pro 25,Asus,2613823,8,256,6.1,108,5000,Android,3.3,2021,False
174,Asus Pro 25,Asus,9298992,8,128,6.4,108,5000,Android,2.3,2021,False
175,Asus Pro 27,Asus,16955640,8,512,6.1,48,4000,Android,1.0,2024,True
176,Asus Pro 30,Asus,3597207,6,256,6.1,12,4000,Android,3.8,2023,False
177,Asus Pro 30,Asus,22662403,12,256,6.7,50,4500,Android,3.8,2024,True
178,Asus Pro 5,Asus,12877788,8,256,6.7,108,4500,Android,4.5,2022,True
179,Asus Pro 5,Asus,4156483,6,256,6.4,48,4500,Android,2.6,2023,False
180,Asus Pro 6,Asus,22621182,8,512,6.8,50,4000,Android,1.0,2019,True
181,Asus Pro 6,Asus,3822569,8,128,5.5,50,6000,Android,3.3,2021,False
182,Asus Pro 7,Asus,9436982,4,256,6.4,64,5000,Android,4.7,2020,True
183,Asus Pro 8,Asus,22902837,6,256,6.1,50,4000,Android,2.3,2022,False
184,Asus Pro 9,Asus,1916622,12,256,6.8,50,4500,Android,2.9,2022,False
185,Asus Ultra 11,Asus,23911297,12,128,5.5,48,4500,Android,3.1,2021,True
186,Asus Ultra 11,Asus,18559606,4,512,6.1,108,4000,Android,3.7,2021,True
187,Asus Ultra 12,Asus,16498244,16,64,5.5,50,4000,Android,4.9,2023,True
188,Asus Ultra 12,Asus,18444839,4,512,6.4,64,4000,Android,4.7,2023,False
189,Asus Ultra 14,Asus,11840477,4,64,6.8,12,6000,Android,2.3,2023,False
190,Asus Ultra 15,Asus,9837235,16,256,6.8,108,6000,Android,2.9,2022,True
191,Asus Ultra 15,Asus,16493217,6,256,6.1,64,4500,Android,3.8,2019,False
192,Asus Ultra 16,Asus,4320043,4,512,6.8,12,4000,Android,4.6,2020,False
193,Asus Ultra 16,Asus,14889490,4,256,6.5,12,6000,Android,2.6,2021,True
194,Asus Ultra 16,Asus,3844843,4,256,6.7,108,5000,Android,1.6,2021,True
195,Asus Ultra 17,Asus,13673909,8,128,6.1,64,4000,Android,3.4,2019,False
196,Asus Ultra 17,Asus,2308865,16,128,5.5,108,4000,Android,1.7,2024,False
197,Asus Ultra 18,Asus,10306152,6,64,6.7,108,4000,Android,2.0,2020,False
198,Asus Ultra 19,Asus,3615265,8,256,5.5,64,5000,Android,2.8,2021,False
199,Asus Ultra 19,Asus,15792442,12,256,6.1,12,4000,Android,1.6,2019,True
200,Asus Ultra 20,Asus,5657669,12,256,6.1,64,4000,Android,4.4,2020,True
201,Asus Ultra 23,Asus,19774766,6,128,6.7,48,4000,Android,4.7,2024,False
202,Asus Ultra 25,Asus,24196492,8,128,6.4,50,5000,Android,4.8,2022,False
203,Asus Ultra 26,Asus,2757041,16,512,6.5,50,5000,Android,4.7,2022,False
204,Asus Ultra 27,Asus,15530082,16,256,6.1,108,4000,Android,2.8,2022,False
205,Asus Ultra 28,Asus,13922313,4,256,6.7,108,5000,Android,2.8,2019,True
206,Asus Ultra 28,Asus,21095525,12,64,6.1,108,5000,Android,1.4,2021,False
207,Asus Ultra 29,Asus,11572748,6,128,6.4,12,4000,Android,1.7,2020,False
208,Asus Ultra 30,Asus,5323457,6,256,6.5,108,5000,Android,1.9,2020,True
209,Asus Ultra 6,Asus,14913761,4,128,6.8,108,6000,Android,3.3,2021,False
210,Asus Ultra 7,Asus,16742071,16,256,6.7,50,4500,Android,3.2,2019,True
211,Asus Ultra 7,Asus,2978905,16,256,6.4,108,4500,Android,4.7,2022,True
212,Asus Ultra 7,Asus,12949223,6,128,6.7,12,6000,Android,4.3,2020,False
213,Asus Ultra 8,Asus,9950866,12,256,6.4,12,5000,Android,2.4,2023,False
214,Asus Ultra 9,Asus,10129005,12,256,6.4,48,4500,Android,4.1,2022,True
215,Huawei Max 10,Huawei,14677856,8,128,6.1,48,4000,Android,1.0,2023,True
216,Huawei Max 13,Huawei,6737009,12,128,5.5,108,4000,Android,3.2,2024,True
217,Huawei Max 13,Huawei,8398506,12,64,6.4,48,4000,Android,1.4,2020,False
218,Huawei Max 14,Huawei,7550312,16,128,6.8,50,4500,Android,1.3,2023,True
219,Huawei Max 14,Huawei,12940396,12,256,6.1,48,4000,Android,4.5,2020,False
220,Huawei Max 15,Huawei,5023372,6,512,6.1,50,5000,Android,4.4,2021,True
221,Huawei Max 15,Huawei,18325530,4,256,6.5,50,4000,Android,1.5,2021,True
222,Huawei Max 16,Huawei,8163221,4,256,6.7,64,6000,Android,2.5,2023,True
223,Huawei Max 17,Huawei,11114640,16,512,6.8,48,5000,Android,2.6,2020,True
224,Huawei Max 18,Huawei,6301481,8,256,6.1,50,5000,Android,3.0,2023,False
225,Huawei Max 19,Huawei,8127814,16,256,6.1,50,6000,Android,2.8,2019,False
226,Huawei Max 20,Huawei,10777097,4,512,5.5,108,4500,Android,1.6,2023,False
227,Huawei Max 23,Huawei,10368952,4,64,6.1,108,4500,Android,3.7,2020,False
228,Huawei Max 24,Huawei,3352934,4,128,5.5,12,6000,Android,3.0,2019,True
229,Huawei Max 24,Huawei,19250657,4,128,6.8,64,4500,Android,3.5,2020,False
230,Huawei Max 25,Huawei,5716377,12,512,6.5,12,5000,Android,4.0,2023,False
231,Huawei Max 25,Huawei,19022486,8,512,5.5,48,4500,Android,2.1,2023,True
232,Huawei Max 26,Huawei,8428596,12,64,6.1,108,4000,Android,2.3,2024,False
233,Huawei Max 27,Huawei,21976797,4,64,6.7,64,6000,Android,1.9,2023,False
234,Huawei Max 27,Huawei,16040201,8,128,6.7,64,5000,Android,3.2,2019,True
235,Huawei Max 29,Huawei,23834216,4,128,6.8,64,6000,Android,1.2,2019,False
236,Huawei Max 30,Huawei,4640930,6,64,6.4,48,6000,Android,1.6,2020,False
237,Huawei Max 5,Huawei,19533545,16,512,6.8,48,4500,Android,3.3,2023,True
238,Huawei Max 5,Huawei,14935101,8,512,6.7,64,6000,Android,1.3,2022,True
239,Huawei Max 5,Huawei,24023664,4,512,6.5,108,4000,Android,2.9,2021,True
240,Huawei Max 6,Huawei,4136130,8,512,6.8,108,4000,Android,4.2,2024,True
241,Huawei Max 6,Huawei,12924483,12,256,6.4,50,4500,Android,3.5,2019,False
242,Huawei Max 7,Huawei,5892151,8,128,6.1,64,6000,Android,3.0,2019,False
243,Huawei Max 8,Huawei,23542315,4,512,6.8,48,4000,Android,1.9,2023,True
244,Huawei Max 9,Huawei,17697430,6,128,6.1,12,4500,Android,3.0,2023,False
245,Huawei Note 20,Huawei,8102610,4,64,6.8,108,5000,Android,4.2,2019,False
246,Huawei Note 20,Huawei,23465181,4,512,6.5,50,4500,Android,3.5,2021,True
247,Huawei Note 22,Huawei,9153014,4,256,6.4,50,5000,Android,3.1,2020,False
248,Huawei Note 24,Huawei,17007389,8,64,6.1,64,5000,Android,3.4,2022,False
249,Huawei Note 24,Huawei,11222637,6,64,6.4,50,4000,Android,2.8,2023,True
250,Huawei Note 24,Huawei,11670588,4,64,5.5,64,4500,Android,3.0,2021,False
251,Huawei Note 25,Huawei,5633706,8,64,6.1,108,4000,Android,4.1,2019,True
252,Huawei Note 26,Huawei,10663808,8,512,6.1,50,5000,Android,1.3,2019,False
253,Huawei Note 26,Huawei,9695857,12,64,6.4,108,4500,Android,5.0,2020,False
254,Huawei Note 30,Huawei,9550982,12,512,6.1,64,6000,Android,3.4,2019,True
255,Huawei Note 6,Huawei,13416884,8,512,6.8,12,5000,Android,4.4,2019,False
256,Huawei Note 6,Huawei,8413470,8,128,6.4,50,4000,Android,4.5,2021,True
257,Huawei Note 7,Huawei,24605267,12,512,6.7,48,4000,Android,2.5,2020,True
258,Huawei Note 7,Huawei,13281586,4,64,6.7,64,5000,Android,1.4,2019,True
259,Huawei Note 7,Huawei,11475670,12,64,6.8,12,5000,Android,2.8,2019,False
260,Huawei Note 7,Huawei,17990750,12,128,6.1,12,5000,Android,2.3,2022,False
261,Huawei Note 7,Huawei,16259933,8,128,5.5,108,4000,Android,1.9,2024,False
262,Huawei Note 8,Huawei,15897943,8,64,6.1,48,5000,Android,2.0,2019,False
263,Huawei Pro 10,Huawei,18842212,16,512,6.4,108,4500,Android,3.7,2020,True
264,Huawei Pro 11,Huawei,16078461,8,64,5.5,50,5000,Android,3.6,2020,False
265,Huawei Pro 12,Huawei,14997570,12,128,5.5,108,4000,Android,1.2,2020,True
266,Huawei Pro 13,Huawei,24706786,8,128,5.5,64,5000,Android,4.2,2022,True
267,Huawei Pro 13,Huawei,6150275,4,512,6.8,108,6000,Android,5.0,2019,True
268,Huawei Pro 14,Huawei,23717442,12,256,6.8,48,5000,Android,1.1,2019,True
269,Huawei Pro 16,Huawei,21711718,16,512,6.8,12,4000,Android,3.0,2020,False
270,Huawei Pro 16,Huawei,4610357,4,256,5.5,48,4000,Android,4.2,2022,True
271,Huawei Pro 19,Huawei,15725526,8,64,6.7,50,6000,Android,4.8,2021,False
272,Huawei Pro 19,Huawei,13092674,8,128,6.1,64,4000,Android,4.2,2022,True
273,Huawei Pro 19,Huawei,13789732,16,64,6.7,50,4000,Android,2.7,2021,False
274,Huawei Pro 19,Huawei,24608863,6,512,6.1,108,5000,Android,4.6,2021,False
275,Huawei Pro 20,Huawei,14086194,4,512,6.4,108,6000,Android,4.5,2024,False
276,Huawei Pro 20,Huawei,9909906,8,64,6.5,108,4000,Android,4.2,2022,True
277,Huawei Pro 21,Huawei,12703835,16,128,6.1,64,4000,Android,3.6,2022,False
278,Huawei Pro 21,Huawei,17280571,6,256,5.5,50,4000,Android,2.0,2023,True
279,Huawei Pro 22,Huawei,16616387,16,128,6.1,50,5000,Android,3.8,2019,False
280,Huawei Pro 23,Huawei,14783786,16,256,6.1,108,4000,Android,4.0,2022,False
281,Huawei Pro 23,Huawei,22803884,8,128,6.4,48,4500,Android,4.0,2022,False
282,Huawei Pro 27,Huawei,18105376,16,64,6.7,64,4500,Android,4.4,2020,True
283,Huawei Pro 27,Huawei,16507681,4,512,6.5,50,6000,Android,2.7,2019,False
284,Huawei Pro 28,Huawei,22900811,6,128,6.1,64,4000,Android,4.6,2023,False
285,Huawei Pro 30,Huawei,18012910,8,64,6.8,50,5000,Android,2.1,2020,False
286,Huawei Pro 30,Huawei,21656599,4,512,5.5,64,4000,Android,1.6,2021,True
287,Huawei Pro 5,Huawei,8902602,8,256,6.4,64,5000,Android,3.2,2023,True
288,Huawei Pro 6,Huawei,23220912,12,64,6.1,12,4000,Android,4.7,2020,False
289,Huawei Pro 7,Huawei,18184691,4,128,5.5,50,4500,Android,1.7,2019,False
290,Huawei Pro 8,Huawei,2937896,4,64,5.5,48,6000,Android,4.9,2019,True
291,Huawei Pro 9,Huawei,23363345,4,128,6.5,48,5000,Android,3.8,2019,False
292,Huawei Ultra 10,Huawei,24681567,8,256,5.5,48,6000,Android,3.6,2023,False
293,Huawei Ultra 11,Huawei,5634552,16,256,6.7,108,5000,Android,3.3,2022,True
294,Huawei Ultra 14,Huawei,3502424,8,512,6.7,48,4000,Android,3.8,2020,False
295,Huawei Ultra 14,Huawei,13928755,4,256,6.7,108,5000,Android,3.6,2022,False
296,Huawei Ultra 17,Huawei,13471498,8,256,6.5,64,4000,Android,1.2,2019,False
297,Huawei Ultra 17,Huawei,8323345,16,256,5.5,12,4500,Android,3.0,2022,True
298,Huawei Ultra 20,Huawei,14422919,6,256,6.1,108,5000,Android,4.6,2020,True
299,Huawei Ultra 20,Huawei,11396306,16,512,6.5,48,6000,Android,2.0,2020,True
300,Huawei Ultra 25,Huawei,5482337,8,256,6.4,108,6000,Android,1.2,2019,True
301,Huawei Ultra 27,Huawei,20970085,4,64,5.5,12,6000,Android,4.0,2020,False
302,Huawei Ultra 29,Huawei,18357699,8,256,6.4,64,6000,Android,1.4,2019,True
303,Huawei Ultra 29,Huawei,5508696,6,256,6.4,48,6000,Android,4.4,2019,False
304,Huawei Ultra 29,Huawei,13706799,4,128,6.4,64,5000,Android,3.3,2023,True
305,Huawei Ultra 30,Huawei,2172356,12,512,6.8,48,4000,Android,1.5,2019,True
306,Huawei Ultra 5,Huawei,24856666,6,64,6.4,48,5000,Android,3.5,2021,False
307,Huawei Ultra 5,Huawei,20517945,16,256,6.5,50,5000,Android,4.1,2021,True
308,Huawei Ultra 5,Huawei,6794991,4,512,6.4,48,5000,Android,3.5,2022,False
309,Huawei Ultra 5,Huawei,8893291,16,128,6.4,50,4000,Android,1.3,2023,False
